lgd_code,state_lgd_code,name,name_ta
568,33,Chennai,
569,33,Coimbatore,
570,33,Cuddalore,
571,33,Dharmapuri,
572,33,Dindigul,
573,33,Erode,
574,33,Kancheepuram,
575,33,Kanniyakumari,
576,33,Karur,
577,33,Krishnagiri,
578,33,Madurai,
579,33,Nagapattinam,
580,33,Namakkal,
581,33,Perambalur,
582,33,Pudukkottai,
583,33,Ramanathapuram,
584,33,Salem,
585,33,Sivaganga,
586,33,Thanjavur,
587,33,The Nilgiris,
588,33,Theni,
589,33,Thiruvallur,
590,33,Thiruvarur,
591,33,Tiruchirappalli,
592,33,Tirunelveli,
593,33,Tiruvannamalai,
594,33,Thoothukkudi,
595,33,Vellore,
596,33,Viluppuram,
597,33,Virudhunagar,
610,33,Ariyalur,
634,33,Tiruppur,
729,33,Kallakurichi,
730,33,Chengalpattu,
731,33,Ranipet,
732,33,Tirupathur,
733,33,Tenkasi,
735,33,Mayiladuthurai,
