pincode,population,grade
110001,48527,district_apportioned
110002,48527,district_apportioned
110003,170746,district_apportioned
110004,48527,district_apportioned
110005,48527,district_apportioned
110006,48527,district_apportioned
110007,221994,district_apportioned
110008,48527,district_apportioned
110009,243769,district_apportioned
110010,79068,district_apportioned
110011,48527,district_apportioned
110012,48527,district_apportioned
110013,170746,district_apportioned
110014,170746,district_apportioned
110015,282583,district_apportioned
110016,79068,district_apportioned
110017,170746,district_apportioned
110018,282583,district_apportioned
110019,170746,district_apportioned
110020,170746,district_apportioned
110021,79068,district_apportioned
110022,79068,district_apportioned
110023,79068,district_apportioned
110024,170746,district_apportioned
110025,170746,district_apportioned
110026,282583,district_apportioned
110027,282583,district_apportioned
110028,79068,district_apportioned
110029,79068,district_apportioned
110030,79068,district_apportioned
110031,155395,district_apportioned
110032,155395,district_apportioned
110033,243769,district_apportioned
110034,243769,district_apportioned
110035,243769,district_apportioned
110036,243769,district_apportioned
110037,79068,district_apportioned
110038,79068,district_apportioned
110039,243769,district_apportioned
110040,243769,district_apportioned
110041,282583,district_apportioned
110042,243769,district_apportioned
110043,79068,district_apportioned
110044,170746,district_apportioned
110045,79068,district_apportioned
110046,79068,district_apportioned
110047,79068,district_apportioned
110048,170746,district_apportioned
110049,170746,district_apportioned
110050,170746,district_apportioned
110051,155395,district_apportioned
110052,243769,district_apportioned
110053,155395,district_apportioned
110054,221994,district_apportioned
110055,48527,district_apportioned
110056,243769,district_apportioned
110057,79068,district_apportioned
110058,282583,district_apportioned
110059,282583,district_apportioned
110060,48527,district_apportioned
110061,79068,district_apportioned
110062,170746,district_apportioned
110063,282583,district_apportioned
110064,79068,district_apportioned
110065,170746,district_apportioned
110066,79068,district_apportioned
110067,79068,district_apportioned
110068,79068,district_apportioned
110069,48527,district_apportioned
110070,79068,district_apportioned
110071,79068,district_apportioned
110072,79068,district_apportioned
110073,79068,district_apportioned
110074,79068,district_apportioned
110075,79068,district_apportioned
110076,170746,district_apportioned
110077,79068,district_apportioned
110078,79068,district_apportioned
110080,170746,district_apportioned
110081,243769,district_apportioned
110082,243769,district_apportioned
110083,243769,district_apportioned
110084,71002,district_apportioned
110085,221994,district_apportioned
110086,221994,district_apportioned
110087,282583,district_apportioned
110088,243769,district_apportioned
110089,243769,district_apportioned
110090,155395,district_apportioned
110091,155395,district_apportioned
110092,155395,district_apportioned
110093,155395,district_apportioned
110094,155395,district_apportioned
110095,155395,district_apportioned
110096,155395,district_apportioned
110097,79068,district_apportioned
110098,71002,district_apportioned
110100,48527,district_apportioned
121001,90487,district_apportioned
121002,90487,district_apportioned
121003,90487,district_apportioned
121004,90487,district_apportioned
121005,90487,district_apportioned
121006,90487,district_apportioned
121007,90487,district_apportioned
121008,90487,district_apportioned
121009,90487,district_apportioned
121010,90487,district_apportioned
121012,90487,district_apportioned
121013,90487,district_apportioned
121014,90487,district_apportioned
121015,90487,district_apportioned
121101,90487,district_apportioned
121102,90487,district_apportioned
121103,90487,district_apportioned
121105,90487,district_apportioned
121106,90487,district_apportioned
121107,90487,district_apportioned
122001,42068,district_apportioned
122002,42068,district_apportioned
122003,42068,district_apportioned
122004,42068,district_apportioned
122005,42068,district_apportioned
122006,42068,district_apportioned
122007,42068,district_apportioned
122008,42068,district_apportioned
122009,42068,district_apportioned
122010,42068,district_apportioned
122011,42068,district_apportioned
122012,42068,district_apportioned
122015,42068,district_apportioned
122016,42068,district_apportioned
122017,42068,district_apportioned
122018,42068,district_apportioned
122051,42068,district_apportioned
122052,42068,district_apportioned
122098,42068,district_apportioned
122101,42068,district_apportioned
