pincode,district_lgd_code,lat,lng
600001,568,13.091400,80.282817
600002,568,13.074400,80.271400
600003,568,13.075400,80.273700
600004,568,13.075400,80.273700
600005,568,13.057200,80.277800
600006,568,13.075400,80.273700
600007,568,13.084700,80.267500
600008,568,13.071700,80.255600
600009,568,13.075400,80.273700
600010,568,13.080000,80.240800
600011,568,13.110300,80.242500
600012,568,13.064700,80.252300
600013,568,13.114100,80.294700
600014,568,13.050600,80.264200
600015,568,13.109600,80.214600
600016,574,12.984600,80.174700
600017,568,13.109600,80.214600
600018,568,13.043300,80.252800
600019,589,13.158200,80.301800
600020,568,12.996700,80.260300
600021,568,13.121000,80.285000
600022,568,13.048400,80.247300
600023,568,13.048400,80.247300
600024,568,13.048100,80.221400
600025,568,13.048400,80.247300
600026,568,13.051100,80.212500
600028,568,13.025000,80.257500
600030,568,13.076800,80.224400
600031,568,13.070000,80.240800
600032,568,13.065900,80.236500
600033,568,13.038900,80.225800
600034,568,13.060600,80.234400
600035,568,13.026900,80.240600
600036,568,13.065900,80.236500
600037,589,13.243100,79.940000
600038,568,13.065900,80.236500
600039,568,13.111100,80.264700
600040,568,13.064700,80.252300
600041,568,13.027633,80.253933
600042,568,13.064700,80.252300
600043,730,12.968000,80.150200
600044,730,12.807213,80.059112
600045,730,12.881900,80.088500
600046,730,12.881900,80.088500
600047,730,12.881900,80.088500
600048,730,12.890400,80.072425
600049,589,13.093750,80.211300
600050,589,13.243100,79.940000
600051,589,13.150100,80.242000
600052,589,13.237878,79.970622
600053,589,13.243100,79.940000
600054,589,13.243100,79.940000
600055,589,13.154700,80.069400
600056,589,13.051640,79.896660
600057,589,13.022600,79.842200
600058,589,13.022600,79.842200
600059,730,12.695200,79.947900
600060,589,13.126900,80.246700
600061,574,12.980500,80.188100
600062,589,13.158000,80.106300
600063,730,12.695200,79.947900
600064,730,12.695200,79.947900
600066,589,13.045800,79.905300
600067,589,13.250257,80.009771
600068,589,13.361800,80.052800
600069,574,12.978000,80.067800
600070,730,12.982800,80.126400
600071,589,13.243100,79.940000
600072,589,13.243100,79.940000
600073,730,12.844667,80.095767
600074,730,12.959100,80.143600
600075,730,12.975000,80.134700
600076,589,13.243100,79.940000
600077,589,13.243100,79.940000
600078,568,13.064700,80.252300
600081,568,13.127400,80.288600
600082,568,13.090700,80.255400
600083,568,13.047300,80.200200
