business_ref,address,state,district,pincode,lat,lng
aavin-641001,"Kamarajar Road, Town Hall",Tamil Nadu,Coimbatore,641001,10.923220,76.968600
aavin-641001,"Sanganoor Road, Ram Nagar",Tamil Nadu,Coimbatore,641002,10.874500,76.975600
aavin-641001,"Vilankurichi Road, R.S. Puram",Tamil Nadu,Coimbatore,641004,11.026600,77.000400
aavin-641001,"Race Course Road, Singanallur",Tamil Nadu,Coimbatore,641005,10.999000,77.032400
aavin-641001,"Dr Nanjappa Road, Ramanathapuram",Tamil Nadu,Coimbatore,641006,10.891100,77.033100
aavin-641001,"Trichy Road, Uppilipalayam",Tamil Nadu,Coimbatore,641007,10.874500,76.975600
aavin-641001,"Avinashi Road, Gandhipuram",Tamil Nadu,Coimbatore,641009,10.874500,76.975600
aavin-641001,"Mettupalayam Road, Ganapathy",Tamil Nadu,Coimbatore,641011,11.017900,76.969300
aavin-641001,"Sathy Road, Peelamedu",Tamil Nadu,Coimbatore,641012,11.026500,76.959200
aavin-641001,"Cross Cut Road, Ondipudur",Tamil Nadu,Coimbatore,641015,11.017900,76.969300
aavin-641001,"Big Bazaar Street, Rathinapuri",Tamil Nadu,Coimbatore,641018,11.017900,76.969300
aavin-641001,"Sungam Bypass, Kuniyamuthur",Tamil Nadu,Coimbatore,641021,11.076600,76.971000
arokya-641025,"Sathy Road, Ukkadam",Tamil Nadu,Coimbatore,641025,11.076600,76.971000
arokya-641025,"Cross Cut Road, Podanur",Tamil Nadu,Coimbatore,641035,10.940167,76.989500
arokya-641025,"Big Bazaar Street, Kavundampalayam",Tamil Nadu,Coimbatore,641037,10.874500,76.975600
arokya-641025,"Sungam Bypass, Thudiyalur",Tamil Nadu,Coimbatore,641041,10.880000,77.153900
arokya-641025,"Pollachi Main Road, Vadavalli",Tamil Nadu,Coimbatore,641045,10.911100,77.041500
arokya-641025,"Thadagam Road, Maruthamalai",Tamil Nadu,Coimbatore,641046,10.911100,77.041500
arokya-641025,"Marudhamalai Road, Saravanampatti",Tamil Nadu,Coimbatore,641048,10.911100,77.041500
arokya-641025,"Bharathiar Road, Nava India",Tamil Nadu,Coimbatore,641062,11.012875,77.056750
sakthi-dairy-641103,"Thadagam Road, Perur",Tamil Nadu,Coimbatore,641103,11.017800,77.062900
sakthi-dairy-641103,"Marudhamalai Road, Vellakinar",Tamil Nadu,Coimbatore,641107,10.895591,76.954873
sakthi-dairy-641103,"Bharathiar Road, Thondamuthur",Tamil Nadu,Coimbatore,641114,10.956200,76.759400
sakthi-dairy-641103,"Perur Main Road, Kinathukadavu",Tamil Nadu,Coimbatore,641202,10.834400,77.088425
sakthi-dairy-641103,"Kamarajar Road, Mettupalayam",Tamil Nadu,Coimbatore,641301,10.874500,76.975600
amul-641402,"Kamarajar Road, Sulur",Tamil Nadu,Coimbatore,641402,11.024300,77.125700
amul-641402,"Sanganoor Road, Pollachi",Tamil Nadu,Coimbatore,642001,10.649800,77.000000
amul-641402,"Vilankurichi Road, Pollachi East",Tamil Nadu,Coimbatore,642002,10.681900,76.996514
amul-641402,"Race Course Road, Valparai",Tamil Nadu,Coimbatore,642126,10.745600,77.103800
heritage-642127,"Dr Nanjappa Road, Valparai Town",Tamil Nadu,Coimbatore,642127,10.326900,76.951200
heritage-642127,"Trichy Road, Tiruppur",Tamil Nadu,Tiruppur,641604,10.896157,77.050386
heritage-642127,"Avinashi Road, Palladam",Tamil Nadu,Tiruppur,638051,11.259491,77.669809
heritage-642127,"Mettupalayam Road, Town Hall",Tamil Nadu,Coimbatore,641001,10.923220,76.968600
dodla-dairy-641002,"Sathy Road, Ram Nagar",Tamil Nadu,Coimbatore,641002,10.874500,76.975600
dodla-dairy-641002,"Cross Cut Road, R.S. Puram",Tamil Nadu,Coimbatore,641004,11.026600,77.000400
dodla-dairy-641002,"Big Bazaar Street, Singanallur",Tamil Nadu,Coimbatore,641005,10.999000,77.032400
dodla-dairy-641002,"Sungam Bypass, Ramanathapuram",Tamil Nadu,Coimbatore,641006,10.891100,77.033100
thirumala-milk-641007,"Sungam Bypass, Uppilipalayam",Tamil Nadu,Coimbatore,641007,10.874500,76.975600
thirumala-milk-641007,"Pollachi Main Road, Gandhipuram",Tamil Nadu,Coimbatore,641009,10.874500,76.975600
thirumala-milk-641007,"Thadagam Road, Ganapathy",Tamil Nadu,Coimbatore,641011,11.017900,76.969300
milky-mist-641012,"Marudhamalai Road, Peelamedu",Tamil Nadu,Coimbatore,641012,11.026500,76.959200
milky-mist-641012,"Bharathiar Road, Ondipudur",Tamil Nadu,Coimbatore,641015,11.017900,76.969300
milky-mist-641012,"Perur Main Road, Rathinapuri",Tamil Nadu,Coimbatore,641018,11.017900,76.969300
sri-balaji-milk-supply-town-hall-641001,"Trichy Road, Town Hall",Tamil Nadu,Coimbatore,641001,10.923220,76.968600
sri-balaji-milk-supply-town-hall-641001,"Trichy Road, Town Hall",Tamil Nadu,Coimbatore,641001,10.923220,76.968600
sri-amman-milk-supply-ram-nagar-641002,"Avinashi Road, Ram Nagar",Tamil Nadu,Coimbatore,641002,10.874500,76.975600
sri-amman-milk-supply-ram-nagar-641002,"Avinashi Road, Ram Nagar",Tamil Nadu,Coimbatore,641002,10.874500,76.975600
sri-murugan-milk-supply-r-s-puram-641004,"Mettupalayam Road, R.S. Puram",Tamil Nadu,Coimbatore,641004,11.026600,77.000400
sri-murugan-milk-supply-r-s-puram-641004,"Mettupalayam Road, R.S. Puram",Tamil Nadu,Coimbatore,641004,11.026600,77.000400
saibaba-milk-supply-singanallur-641005,"Sathy Road, Singanallur",Tamil Nadu,Coimbatore,641005,10.999000,77.032400
saibaba-milk-supply-singanallur-641005,"Sathy Road, Singanallur",Tamil Nadu,Coimbatore,641005,10.999000,77.032400
sri-vinayaga-milk-supply-ramanathapuram-641006,"Cross Cut Road, Ramanathapuram",Tamil Nadu,Coimbatore,641006,10.891100,77.033100
sri-vinayaga-milk-supply-ramanathapuram-641006,"Cross Cut Road, Ramanathapuram",Tamil Nadu,Coimbatore,641006,10.891100,77.033100
annapoorna-milk-supply-uppilipalayam-641007,"Big Bazaar Street, Uppilipalayam",Tamil Nadu,Coimbatore,641007,10.874500,76.975600
