business_ref,pincode
sri-balaji-dairy-farm-641001,641001
sri-balaji-dairy-farm-641001,641002
kovai-fresh-milk-suppliers-641002,641002
annai-dairy-products-641004,641004
annai-dairy-products-641004,641005
coimbatore-cooperative-milk-vendor-641005,641005
nandhini-milk-center-641006,641006
saibaba-colony-dairy-641011,641011
ganga-dairy-farm-641009,641009
ganga-dairy-farm-641009,641048
sri-krishna-milk-suppliers-641012,641012
kovai-nature-farms-dairy-641013,641013
elango-dairy-vendor-641014,641014
amman-dairy-products-641016,641016
green-valley-dairy-farm-641017,641017
sri-lakshmi-milk-center-641018,641018
kovai-a2-milk-suppliers-641020,641020
tiruppur-border-dairy-vendor-641604,641604
tiruppur-border-dairy-vendor-641604,641001
