business_ref,vertical_slug,name,specs_json,price_display
aavin-641001,milk,Aavin Green Magic Toned Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""500ml""}",₹22/500ml
aavin-641001,milk,Aavin Full Cream Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""500ml""}",₹34/500ml
aavin-641001,milk,Aavin Standardised Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""1l""}",₹56/1l
arokya-641025,milk,Arokya Full Cream Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""500ml""}",₹36/500ml
arokya-641025,milk,Arokya Toned Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""500ml""}",₹30/500ml
arokya-641025,milk,Arokya Standardised Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""1l""}",₹60/1l
sakthi-dairy-641103,milk,Sakthi Standardised Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""500ml""}",₹31/500ml
sakthi-dairy-641103,milk,Sakthi Full Cream Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""500ml""}",₹35/500ml
sakthi-dairy-641103,milk,Sakthi Toned Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""1l""}",₹58/1l
amul-641402,milk,Amul Gold Full Cream Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""500ml""}",₹36/500ml
amul-641402,milk,Amul Taaza Toned Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""500ml""}",₹28/500ml
amul-641402,milk,Amul Cow Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""1l""}",₹62/1l
heritage-642127,milk,Heritage Toned Milk,"{""fat_percent"": 3.0, ""milk_type"": ""toned"", ""pack_size"": ""500ml""}",₹30/500ml
heritage-642127,milk,Heritage Full Cream Milk,"{""fat_percent"": 4.0, ""milk_type"": ""cow"", ""pack_size"": ""500ml""}",₹35/500ml
