institution_slug,programme_slug,intake_seats,annual_fees_inr,fee_note,admission_route,source_url,last_verified_at
acri-coimbatore,bsc-hons-agriculture,231,46000,"TNAU Table 2 total sanctioned strength (general quota 124 + supernumerary); TNAU Table 11 Science-category govt fee Rs 23000/semester x2, excludes ~Rs 34000 one-time admission payment",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-coimbatore,bsc-hons-agri-business-management,78,126000,"TNAU Table 2 total sanctioned strength (self-supporting); TNAU Table 11 Technology-category fee Rs 63000/semester x2, excludes ~Rs 74000 one-time admission payment",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-madurai,bsc-hons-agriculture,230,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
vocacri-killikulam,bsc-hons-agriculture,240,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
adacri-tiruchirappalli,bsc-hons-agriculture,168,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-vazhavachanur,bsc-hons-agriculture,159,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-kudumiyanmalai,bsc-hons-agriculture,159,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
mss-acri-eachangkottai,bsc-hons-agriculture,163,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-karur,bsc-hons-agriculture,91,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-keezhvelur,bsc-hons-agriculture,91,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
acri-chettinad,bsc-hons-agriculture,261,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
hcri-coimbatore,bsc-hons-horticulture,103,46000,"TNAU Table 2 total sanctioned strength; TNAU Table 11 Science-category govt fee Rs 23000/semester x2",TNAU single-window online counselling (tnau.ucanapply.com),https://ucanapplym.s3.ap-south-1.amazonaws.com/TNAU+UG+Brochure+2026-2027+-+(13.05.2026).pdf,2026-08-16
