slug,name_en,name_ta,name_hi,level,discipline,duration_months,description_en,description_ta,description_hi
diploma-agriculture,Diploma (Agriculture),,,diploma,agriculture,,,,
bsc-hons-agriculture,B.Sc. (Hons.) Agriculture,,,ug,agriculture,,,,
msc-ag-agronomy,M.Sc. (Ag.) in Agronomy,,,pg,agriculture,,,,
phd-agronomy,Ph.D. in Agronomy,,,phd,agriculture,,,,
diploma-horticulture,Diploma (Horticulture),,,diploma,horticulture,,,,
bsc-hons-horticulture,B.Sc. (Hons.) Horticulture,,,ug,horticulture,,,,
msc-hort-fruit-science,M.Sc. (Hort.) in Fruit Science,,,pg,horticulture,,,,
phd-hort-fruit-science,Ph.D. (Hort.) in Fruit Science,,,phd,horticulture,,,,
msc-hort-vegetable-science,M.Sc. (Hort.) in Vegetable Science,,,pg,horticulture,,,,
phd-hort-vegetable-science,Ph.D. (Hort.) in Vegetable Science,,,phd,horticulture,,,,
bsc-hons-forestry,B.Sc. (Hons.) Forestry,,,ug,forestry,,,,
msc-forestry-silviculture-agroforestry,M.Sc. (Forestry) in Silviculture and Agroforestry,,,pg,forestry,,,,
phd-forestry,Ph.D. in Forestry,,,phd,forestry,,,,
bfsc,B.F.Sc.,,,ug,fisheries,48,,,
mfsc-aquaculture,M.F.Sc. in Aquaculture,,,pg,fisheries,,,,
phd-aquaculture,Ph.D. Aquaculture,,,phd,fisheries,,,,
btech-dairy-technology,B.Tech. (Dairy Technology),,,ug,dairy_tech,48,,,
btech-food-technology,B.Tech. (Food Technology),,,ug,dairy_tech,48,,,
mtech-dairy-technology,M.Tech. (Dairy Technology),,,pg,dairy_tech,,,,
mtech-food-technology,M.Tech. (Food Technology),,,pg,dairy_tech,,,,
phd-dairy-technology,Ph.D. (Dairy Technology),,,phd,dairy_tech,,,,
btech-agri-engineering,B.Tech. (Agricultural Engineering),,,ug,agri_engineering,,,,
mtech-agri-engineering-farm-machinery-power,M.Tech (Agricultural Engineering) in Farm Machinery and Power Engineering,,,pg,agri_engineering,,,,
phd-farm-machinery-power-engineering,Ph.D. in Farm Machinery and Power Engineering,,,phd,agri_engineering,,,,
bsc-hons-agri-business-management,B.Sc. (Hons.) Agri Business Management,,,ug,agri_business,,,,
mba-agribusiness-management,MBA in Agri-Business Management,,,pg,agri_business,24,,,
phd-agribusiness-management,Ph.D. in Agri-Business Management,,,phd,agri_business,,,,
bvsc-ah,B.V.Sc. & A.H.,,,ug,veterinary,66,,,
mvsc-animal-genetics-breeding,M.V.Sc. (Animal Genetics and Breeding),,,pg,veterinary,,,,
phd-veterinary-animal-genetics-breeding,Ph.D. Veterinary Animal Genetics and Breeding,,,phd,veterinary,,,,
bsc-hons-sericulture,B.Sc. (Hons.) Sericulture,,,ug,agriculture,,,,
msc-ag-sericulture,M.Sc. (Ag.) in Sericulture,,,pg,agriculture,,,,
phd-agri-sericulture,Ph.D. (Agri.) in Sericulture,,,phd,agriculture,,,,
msc-ag-soil-science,M.Sc. (Ag.) in Soil Science,,,pg,agriculture,,,,
phd-soil-science,Ph.D. in Soil Science,,,phd,agriculture,,,,
msc-ag-plant-pathology,M.Sc. (Ag.) in Plant Pathology,,,pg,agriculture,,,,
phd-plant-pathology,Ph.D. in Plant Pathology,,,phd,agriculture,,,,
msc-ag-genetics-plant-breeding,M.Sc. (Ag.) in Genetics and Plant Breeding,,,pg,agriculture,,,,
phd-genetics-plant-breeding,Ph.D. in Genetics and Plant Breeding,,,phd,agriculture,,,,
btech-biotechnology,B.Tech. (Biotechnology),,,ug,agriculture,,,,
bsc-hons-community-science,B.Sc. (Hons.) Community Science,,,ug,agriculture,,,,
bsc-hons-food-nutrition-dietetics,"B.Sc. (Hons.) Food, Nutrition and Dietetics",,,ug,agriculture,,,,
